date_time,song_name,artists,duration,user_name
2023-02-11 09:35:45,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Video]",Bruno Mars,04:08,Vignaraj#6477
2023-02-11 09:35:48,The Weeknd - I Feel It Coming ft. Daft Punk (Official Video),TheWeekndVEVO,05:58,Vignaraj#6477
2023-02-11 09:35:51,The Weeknd - Call Out My Name (Official Video),TheWeekndVEVO,04:58,Vignaraj#6477
2023-02-11 09:35:54,Khalid - Better (Official Video),KhalidVEVO,04:11,Vignaraj#6477
2023-02-11 09:35:56,Rihanna - Work (Explicit) ft. Drake,RihannaVEVO,08:34,Vignaraj#6477
2023-02-11 09:35:59,Rihanna - Love On The Brain (Lyrics),Cakes & Eclairs,04:44,Vignaraj#6477
2023-02-11 09:36:02,The Weeknd - I Was Never There feat. Gesaffelstein (Official Audio),The Weeknd,04:01,Vignaraj#6477
2023-02-11 09:36:04,Jaymes Young - Infinity [Official Audio],Jaymes Young,04:58,Vignaraj#6477
2023-02-11 09:36:08,Lana Del Rey - Young and Beautiful,LanaDelReyVEVO,04:59,Vignaraj#6477
2023-02-11 09:36:11,Mario - Let Me Love You (Official Video),MarioVEVO,04:26,Vignaraj#6477
2023-02-11 09:36:14,The Weeknd - Is There Someone Else? (Official Music Video),TheWeekndVEVO,04:14,Vignaraj#6477
2023-02-11 09:36:16,"Doja Cat, The Weeknd - You Right (Official Video)",dojacatVEVO,03:10,Vignaraj#6477
2023-02-11 09:36:19,Daniel Caesar - Get You ft. Kali Uchis [Official Video],Daniel Caesar,05:31,Vignaraj#6477
2023-02-11 09:36:22,Doja Cat - Streets (Official Video),dojacatVEVO,05:34,Vignaraj#6477
2023-02-11 09:36:25,"Future - WAIT FOR U (Official Music Video) ft. Drake, Tems",FutureVEVO,04:59,Vignaraj#6477
2023-02-11 09:36:28,Chris Brown - Call Me Every Day (Official Video) ft. Wizkid,ChrisBrownVEVO,03:06,Vignaraj#6477
2023-02-11 09:36:31,ZAYN - PILLOWTALK,ZaynVEVO,03:27,Vignaraj#6477
2023-02-11 09:36:34,"Busta Rhymes, Mariah Carey - I Know What You Want (Official HD Video) ft. Flipmode Squad",BustaRhymesVEVO,05:19,Vignaraj#6477
2023-02-11 09:36:36,"Sam Smith - Fire On Fire (From ""Watership Down"")",SamSmithVEVO,04:08,Vignaraj#6477
2023-02-11 09:36:39,DaniLeigh - Easy ft. Chris Brown (Remix),DaniLeighVEVO,04:45,Vignaraj#6477
2023-02-11 09:36:41,Beyonc� - Drunk in Love (Explicit) ft. JAY Z,Beyonc�VEVO,06:22,Vignaraj#6477
2023-02-11 09:36:44,Rihanna - Needed Me,RihannaVEVO,03:14,Vignaraj#6477
2023-02-11 09:36:47,Katy Perry - Harleys In Hawaii (Official),KatyPerryVEVO,03:14,Vignaraj#6477
2023-02-11 09:36:49,H.E.R. - Damage (Official Video),HERMusicVEVO,04:44,Vignaraj#6477
2023-02-11 09:36:52,Enrique Iglesias - Hero (Official Music Video),EnriqueIglesiasVEVO,04:23,Vignaraj#6477
2023-02-11 09:36:55,"Daniel Caesar & H.E.R. - Best Part, a Visual",DanielCaesarVEVO,04:03,Vignaraj#6477
2023-02-11 09:36:58,Rihanna - Loveeeeeee Song (Lyrics) Ft. Future,Popular Music,04:18,Vignaraj#6477
2023-02-11 09:37:00,Russ - Losin Control (Official Video),RussVEVO,04:00,Vignaraj#6477
2023-02-11 09:37:03,Giveon - Like I Want You (Official Music Video),GiveonVEVO,05:05,Vignaraj#6477
2023-02-11 09:37:06,Bryson Tiller - Don't (Explicit Version),BrysonTillerVEVO,04:43,Vignaraj#6477
2023-02-11 09:37:08,Destiny's Child - Say My Name (Official Video),DestinysChildVEVO,04:59,Vignaraj#6477
2023-02-11 09:37:11,Bruno Mars - Versace on the Floor (Official Music Video),Bruno Mars,06:37,Vignaraj#6477
2023-02-11 09:37:14,T-Pain - Buy U A Drank (Shawty Snappin') (Official HD Video) ft. Yung Joc,TPainVEVO,04:50,Vignaraj#6477
2023-02-11 09:37:16,Gesaffelstein & The Weeknd - Lost in the Fire (Official Video),GesaffelsteinVEVO,03:19,Vignaraj#6477
2023-02-11 09:37:19,Muni Long - Hrs & Hrs,MuniLongVEVO,04:52,Vignaraj#6477
